Ref,Pad,Net
U1,1,LNA_IN
U1,2,3V3
U1,3,3V3
U1,4,CHIP_PU
U1,5,GPIO0
U1,6,NC
U1,7,NC
U1,8,NC
U1,9,CHG_DETECT
U1,10,WAKE_BUTTON
U1,11,NC
U1,12,NC
U1,13,CAM_SIOD
U1,14,CAM_SIOC
U1,15,CAM_D9
U1,16,CAM_D8
U1,17,CAM_D7
U1,18,CAM_D6
U1,19,CAM_D5
U1,20,3V3
U1,21,CAM_XCLK
U1,22,CAM_VSYNC
U1,23,CAM_HREF
U1,24,CAM_RESETB
U1,25,NC
U1,26,NC
U1,27,CAM_PWDN
U1,28,NC
U1,29,VDD_SPI
U1,30,NC
U1,31,NC
U1,32,NC
U1,33,NC
U1,34,NC
U1,35,NC
U1,36,NC
U1,37,LED_STATUS
U1,38,NC
U1,39,NC
U1,40,NC
U1,41,NC
U1,42,NC
U1,43,CAM_D4
U1,44,CAM_D3
U1,45,CAM_D2
U1,46,3V3
U1,47,CAM_PCLK
U1,48,NC
U1,49,U0TXD
U1,50,U0RXD
U1,51,NC
U1,52,NC
U1,53,NC
U1,54,NC
U1,55,3V3
U1,56,3V3
U1,57,GND
J1,1,NC
J1,2,GND
J1,3,CAM_SIOD
J1,4,2V8
J1,5,CAM_SIOC
J1,6,CAM_RESETB
J1,7,CAM_VSYNC
J1,8,CAM_PWDN
J1,9,CAM_HREF
J1,10,1V3
J1,11,2V8
J1,12,CAM_D9
J1,13,CAM_XCLK
J1,14,CAM_D8
J1,15,GND
J1,16,CAM_D7
J1,17,CAM_PCLK
J1,18,CAM_D6
J1,19,CAM_D2
J1,20,CAM_D5
J1,21,CAM_D3
J1,22,CAM_D4
J1,23,NC
J1,24,NC
J1,S1,GND
J1,S2,GND
U2,1,TPS_L1
U2,2,VBAT
U2,3,VBAT
U2,4,VBAT
U2,5,GND
U2,6,GND
U2,7,TPS_L2
U2,8,3V3
U2,9,GND
U2,10,GND
U2,11,GND
L1,1,TPS_L1
L1,2,TPS_L2
U3,1,CHG_STAT
U3,2,GND
U3,3,VBAT
U3,4,VCHG_5V
U3,5,CHG_PROG
U4,1,3V3
U4,2,GND
U4,3,3V3
U4,4,NC
U4,5,2V8
U5,1,3V3
U5,2,GND
U5,3,3V3
U5,4,NC
U5,5,1V3
ANT1,1,RF_ANT
ANT1,2,GND
SW1,1,WAKE_BUTTON
SW1,2,WAKE_BUTTON
SW1,3,GND
SW1,4,GND
LED1,1,GND
LED1,2,LED_A
L2,1,LNA_IN
L2,2,RF_ANT
C1,1,LNA_IN
C1,2,GND
C2,1,RF_ANT
C2,2,GND
R1,1,CHG_PROG
R1,2,GND
R3,1,LED_STATUS
R3,2,LED_A
R4,1,3V3
R4,2,CHIP_PU
C3,1,CHIP_PU
C3,2,GND
C4,1,VBAT
C4,2,GND
C5,1,3V3
C5,2,GND
C6,1,3V3
C6,2,GND
C7,1,3V3
C7,2,GND
C8,1,VCHG_5V
C8,2,GND
C9,1,VBAT
C9,2,GND
C10,1,2V8
C10,2,GND
C11,1,1V3
C11,2,GND
C12,1,3V3
C12,2,GND
C13,1,3V3
C13,2,GND
R5,1,2V8
R5,2,CAM_SIOD
R6,1,2V8
R6,2,CAM_SIOC
R7,1,3V3
R7,2,GPIO0
R8,1,VCHG_5V
R8,2,CHG_DETECT
R9,1,CHG_DETECT
R9,2,GND
TP1,1,VCHG_5V
TP2,1,GND
TP3,1,CHG_STAT
TP4,1,WAKE_BUTTON
TP5,1,3V3
TP6,1,U0TXD
TP7,1,U0RXD
TP8,1,CHIP_PU
TP9,1,GPIO0
BAT+,1,VBAT
BAT-,1,GND
MH1,1,NC
MH2,1,NC
MH3,1,NC
MH4,1,NC
C14,1,VDD_SPI
C14,2,GND
C15,1,3V3
C15,2,GND
C16,1,3V3
C16,2,GND
C17,1,VDD_SPI
C17,2,GND
