Comment,Designator,Footprint,Manufacturer,Manufacturer Part Number,LCSC Part #,Quantity,Notes
5V TVS,D1,SOD-523,TECH PUBLIC,ESD5Z5V0,C302007,1,JLCPCB SMT
500mA PTC,F1,Fuse_1206,Littelfuse,1206L050/15YR,C70069,1,JLCPCB SMT
USB-C power+USB2,J1,CameraIoT_USB-C-16P,G-Switch,TYPE-C-31-M-12,C165948,1,JLCPCB SMT
Power LED,LED1,LED_0603,Everlight,19-217/GHC-YR1S2/3T,C72043,1,JLCPCB SMT
Charge LED,LED2,LED_0603,Everlight,19-217/R6C-AL1M2VY/3T,C72039,1,JLCPCB SMT
5.1k,"R1,R2",R_0402,Yageo,RC0402FR-075K1L,C25905,2,JLCPCB SMT
2.2k,"R3,R4",R_0402,Yageo,RC0402FR-072K2L,C25879,2,JLCPCB SMT
FLASH button,SW2,CameraIoT_SKRPACE010,ALPS Alpine,SKRPACE010,C139797,1,JLCPCB SMT
RESET button,SW3,CameraIoT_SKRPACE010,ALPS Alpine,SKRPACE010,C139797,1,JLCPCB SMT
